DAY,6-9am,12-3pm,6-9pm
(MON)18/11,87,264,158
(TUE)19/11,76,322,131
(WED)20/11,94,357,144
(THU)21/11,87,382,139
(FRI)22/11,91,320,110
(SAT)23/11,59,375,114
(SUN)24/11,51,313,110
