DAY,6-9am,12-3pm,6-9pm
(MON)18/11,283,317,327
(TUE)19/11,264,324,348
(WED)20/11,231,302,225
(THU)21/11,211,251,304
(FRI)22/11,179,243,289
(SAT)23/11,256,287,332
(SUN)24/11,174,267,315
